,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std
0,2014-03-13,3,8.0,-0.5,1.5,,206.30899977683998,5.0,0.0,49.138999999999996,184.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,2014-03-14,4,7.4,-0.4,0.75,,46.0409998893738,1.0,3.0,9.964,6.877,0.0,0.0,0.0,0.0,29.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2014-03-15,5,6.4,0.4,0.8,,485.9710001945492,0.0,2.0,132.11399999999998,133.3,65.813,40.192,0.0,0.0,10.025,103.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,2014-03-16,6,6.6,-0.8,0.5,,364.69199991226196,0.0,3.0,185.55799999999996,120.445,0.0,19.082,0.0,0.0,38.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,2014-03-17,0,7.2,-0.6,0.6,0.06071428571428575,714.3029994964597,0.0,0.0,47.282999999999994,434.677,0.0,0.0,0.0,0.0,15.073,216.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07225709954996919
5,2014-03-18,1,6.6,0.4,0.6,0.05391190992639995,786.311000823975,4.0,1.0,190.195,464.50399999999996,96.551,22.1,0.0,0.0,11.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14895990313224253
6,2014-03-19,2,6.4,0.0,0.6,0.005627705627705628,26.35700011253359,0.0,0.0,32.349000000000004,0.0,17.332,0.0,0.0,0.0,22.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014501543219578436
7,2014-03-20,3,5.666666666666667,0.6666666666666666,0.3333333333333333,0.04383822653596662,412.8229997158053,2.0,4.0,323.71700000000004,97.727,15.348,0.0,0.0,0.0,10.029,69.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07121291583215636
8,2014-03-21,4,6.8,1.0,1.0,0.060560360921981006,285.03099989891007,2.0,0.0,103.69,124.30899999999998,5.041,0.0,0.0,0.0,0.0,125.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20469621641426924
9,2014-03-22,5,6.5,0.5,0.75,0.06677041257209454,1155.7909998893738,3.0,2.0,87.42399999999999,189.52100000000002,93.44200000000001,0.0,0.0,0.0,10.077,15.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17586597490431835
10,2014-03-23,6,7.0,0.0,1.0,0.06845238095238092,726.3540003299709,6.0,3.0,173.546,204.495,181.257,13.047,0.0,0.0,23.124,191.31400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719914528530337
11,2014-03-24,0,6.4,0.0,0.8,0.10731287707390641,459.0190002918247,0.0,0.0,147.85,222.792,0.0,6.032,0.0,0.0,10.417,81.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1200565421702474
12,2014-03-25,1,6.0,0.6,0.6,0.08716623124390796,1013.4389998912809,0.0,1.0,260.70799999999997,365.541,50.631,0.0,0.0,0.0,21.061,161.01000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17823648178223586
13,2014-03-26,2,5.6,0.2,0.25,0.09062499999999994,2525.9130001068124,0.0,1.0,75.11999999999999,284.599,60.185,64.797,0.0,0.0,0.0,221.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2449857012249177
14,2014-03-27,3,6.0,0.0,0.25,0.2950993676603433,1594.009999990467,1.0,15.0,69.691,0.0,3342.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4387605886868991
15,2014-03-28,4,6.5,-0.75,0.75,0.08746898327453531,519.1339998245237,0.0,0.0,119.651,398.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163414919648402
16,2014-03-29,5,6.0,-0.5,0.5,0.2525042601225439,410.1199998855591,2.0,2.0,133.275,155.086,0.0,19.119,0.0,0.0,8.057,93.96199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40093210746251046
17,2014-03-30,6,5.4,0.4,1.0,0.052733447325923805,862.5760006904598,4.0,0.0,176.164,100.42899999999999,1480.0929999999998,0.0,0.0,0.0,17.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12430015138813517
18,2014-03-31,0,6.0,-0.25,0.3333333333333333,0.13474030795602568,73.79699993133555,3.0,7.0,12.349,53.071,0.0,0.0,0.0,0.0,8.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24097642074592387
19,2014-04-01,1,5.8,-0.4,0.6,0.3134394341290891,1473.5539999008206,0.0,1.0,98.198,194.89,0.0,0.0,0.0,0.0,0.0,48.338,40.949,0.0,0.0,0.0,0.0,0.0,0.0,0.36987708610889086
20,2014-04-02,2,6.4,-0.2,1.0,0.030474211305752518,8644.528000116352,4.0,0.0,29.768,105.76100000000001,0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04950982160141861
21,2014-04-03,3,6.25,-0.5,0.3333333333333333,0.012361111111111111,138.8190000057221,0.0,0.0,41.036,289.19,1.014,0.0,0.0,0.0,17.155,41.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02738929738257466
22,2014-04-04,4,6.2,-0.2,0.8,0.1440706034463033,4939.440000295641,4.0,4.0,678.477,1680.0349999999996,2216.219,20.066,0.0,0.0,27.086,301.87800000000004,9.888,0.0,0.0,0.0,0.0,0.0,0.0,0.2530746746756754
23,2014-04-05,5,7.0,0.0,1.0,0.08748917748917752,202.36500000953663,1.0,0.0,99.01,239.666,142.025,0.0,0.0,0.0,15.072,20.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18995378849758338
