,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
0,2014-03-21,4,4.666666666666667,0.6666666666666666,0.6666666666666666,0.10965501792114701,6933.05800008774,3.0,0.0,1992.576,4906.088999999999,0.0,0.0,117.06900000000002,5.037,0.0,0.0,
1,2014-03-22,5,6.6,-1.4,0.4,0.08657926861241298,4756.049000501638,7.0,0.0,3243.8109999999997,1842.908,0.0,0.0,480.03000000000003,71.613,0.0,0.0,
2,2014-03-23,6,7.0,-0.8,0.8,0.029460438699569155,996.3209986686708,4.0,0.0,572.4590000000001,252.16899999999998,0.0,0.0,104.042,67.619,0.0,0.0,
3,2014-03-24,0,6.0,-0.4,0.4,0.1138894460613641,2143.2990009784703,5.0,0.0,384.5570000000001,3434.444,26.125,0.0,53.411,0.0,0.0,0.0,
4,2014-03-25,1,5.5,-1.25,0.25,0.11325160672351993,4789.015998840334,12.0,0.0,1052.341,3930.737,0.0,0.0,54.303,0.0,0.0,0.0,
5,2014-03-26,2,6.0,-0.6,0.4,0.10891482612696542,4413.397999525071,6.0,0.0,911.1129999999999,3308.547,0.0,0.0,49.532,139.74599999999998,0.0,2.006,
6,2014-03-27,3,6.6,0.0,0.6,0.13220460848007368,3595.464998483658,7.0,1.0,880.1669999999999,2165.117,242.518,0.0,47.601,190.399,0.0,66.857,
7,2014-03-28,4,6.6,-0.6,1.2,0.14887226502146783,2731.158999204635,8.0,1.0,851.371,1221.546,562.8489999999999,0.0,63.667,26.28,0.0,4.047000000000001,
8,2014-03-29,5,7.4,0.2,1.2,0.13795426002920017,1752.946999788284,10.0,2.0,608.323,962.6000000000001,85.27600000000001,0.0,95.58399999999999,0.0,0.0,0.0,
9,2014-03-30,6,7.0,-0.4,0.8,0.06452367036820571,1024.7169997692104,5.0,0.0,2877.918,690.4359999999999,0.0,0.0,50.268,0.0,0.0,0.0,
10,2014-03-31,0,7.2,-0.4,1.0,0.13012099954924497,6191.571999549862,6.0,1.0,857.5339999999999,5208.941000000001,0.0,0.0,44.667,0.0,238.21699999999998,0.0,
11,2014-04-01,1,6.4,0.0,0.2,0.13346682929400025,3570.4710009098053,1.0,0.0,591.501,4749.214999999999,0.0,0.0,49.427,0.0,0.0,8.822,
12,2014-04-02,2,7.6,-0.2,1.0,0.07716355485107416,1855.275000333786,3.0,0.0,585.067,1181.8370000000002,0.0,0.0,41.193,47.717,0.0,0.0,
13,2014-04-03,3,6.6,0.0,0.6,0.07307714752567694,3131.023000478744,2.0,0.0,654.4740000000002,2433.116,0.0,0.0,42.374,0.0,0.0,0.0,
14,2014-04-04,4,7.0,-0.2,0.4,0.1570211539710371,3949.334000825882,11.0,0.0,1470.5149999999999,2113.677,0.0,0.0,195.69899999999998,219.406,0.0,0.0,
15,2014-04-05,5,8.0,-0.6,1.2,0.13595576600004897,2214.124000787735,11.0,0.0,643.2819999999999,1089.559,0.0,360.98199999999997,65.382,53.37,0.0,0.0,
16,2014-04-06,6,7.25,-1.25,1.0,0.09422410643417789,2472.241999864578,8.0,1.0,764.0849999999999,1658.2150000000004,0.0,0.0,49.277,0.0,0.0,0.0,
17,2014-04-07,0,6.6,-1.0,0.6,0.18343492913073647,3835.042002439499,11.0,0.0,1506.19,2995.572,0.0,0.0,63.583,214.58,0.0,0.0,
18,2014-04-08,1,6.8,-0.4,1.0,0.08906279785658473,2903.4530005455,8.0,2.0,994.5279999999999,1925.0710000000004,0.0,0.0,39.395,0.0,0.0,0.0,
19,2014-04-09,2,7.2,-0.4,0.8,0.11756512889589064,3051.9820015430446,8.0,1.0,522.5149999999999,2467.106,0.0,0.0,60.629,0.0,0.0,0.0,
20,2014-04-10,3,6.75,-0.5,0.75,0.07280121100164204,1047.3950006961823,4.0,0.0,3206.8059999999996,431.11400000000003,0.0,0.0,32.281,67.61399999999999,0.0,0.0,
21,2014-04-11,4,6.8,-0.6,1.0,0.11109389946189822,2774.8020012378697,6.0,0.0,1001.9659999999999,1665.2379999999998,0.0,0.0,42.442,61.462,0.0,0.0,
22,2014-04-12,5,7.2,0.2,0.8,0.06605497341205051,1843.5919997692122,6.0,0.0,728.336,978.22,0.0,0.0,45.462,389.025,0.0,0.0,
23,2014-04-13,6,7.2,-0.6,1.0,0.11367449436267445,1506.4069986343386,6.0,0.0,336.936,879.5149999999999,0.0,0.0,61.584,226.876,0.0,0.0,
24,2014-04-14,0,7.0,0.4,0.8,0.14592902118511944,5001.964999198914,15.0,0.0,2974.4809999999993,3767.26,0.0,0.0,68.638,208.525,0.0,42.282,
25,2014-04-15,1,6.4,-1.0,1.0,0.130765639589169,4282.645000696184,4.0,0.0,735.2719999999998,3403.3519999999994,0.0,0.0,113.346,19.202,0.0,12.671,
26,2014-04-16,2,6.8,-0.6,1.0,0.07721354166666666,1871.9100003242488,4.0,1.0,218.15699999999998,7165.154,0.0,0.0,57.332,354.72900000000004,0.0,0.0,
27,2014-04-17,3,6.8,-0.8,1.0,0.1014676704014939,4765.971998453144,1.0,0.0,167.766,5377.631,0.0,0.0,47.519999999999996,97.947,0.0,0.0,
28,2014-04-18,4,6.8,-1.0,1.0,0.06493055555555556,3308.503000020981,3.0,1.0,148.654,3381.738,0.0,229.132,43.347,0.0,0.0,0.0,
29,2014-04-19,5,6.8,-0.4,0.8,0.11031735913804182,1113.8729996681213,6.0,0.0,285.445,762.9700000000001,0.0,0.0,56.542,323.904,0.0,8.679,
30,2014-04-20,6,7.6,0.2,1.2,0.10195700631156768,1732.9319996833806,4.0,0.0,917.671,697.55,0.0,0.0,41.69800000000001,76.214,0.0,0.0,
31,2014-04-21,0,6.4,-0.2,1.0,0.13346984280942725,1736.3480000495902,6.0,0.0,471.07800000000003,1139.57,0.0,0.0,47.591,30073.421,0.0,0.0,
32,2014-04-22,1,6.8,0.6,1.2,0.13701083958092172,4882.6779997348785,7.0,0.0,619.441,4304.149,0.0,0.0,50.736,25.469,0.0,0.0,
33,2014-04-23,2,6.0,-1.0,1.0,0.11064682679520278,3101.1779999732976,4.0,1.0,357.817,3800.127,0.0,0.0,56.45,193.167,0.0,0.0,
34,2014-04-24,3,6.6,-0.6,0.8,0.1056023849974434,2965.6020007133475,5.0,0.0,382.3230000000001,2393.101,0.0,0.0,188.10000000000002,0.0,0.0,0.0,
35,2014-04-25,4,7.25,-0.75,0.75,0.07677511149518856,2672.424998760224,6.0,0.0,951.5989999999999,2386.6830000000004,546.49,0.0,43.169,258.757,0.0,0.0,
36,2014-04-26,5,7.75,1.0,1.5,0.2491027157989633,1374.8749997615814,6.0,1.0,2705.3540000000003,457.98799999999994,0.0,0.0,107.936,0.0,0.0,0.0,
37,2014-04-27,6,6.333333333333333,-1.5,0.8333333333333334,0.04486664230909752,3028.6259999275208,4.0,0.0,593.8269999999998,2522.391,0.0,0.0,85.994,396.19,259.45799999999997,0.0,
38,2014-04-28,0,6.4,0.0,0.6,0.10377999025697232,2972.204998731613,4.0,0.0,475.858,4132.418000000001,0.0,0.0,56.394999999999996,599.376,62.108000000000004,0.0,
39,2014-04-29,1,7.2,0.4,0.6,0.02568243249036055,2259.049998521805,6.0,0.0,1142.1530000000002,1719.707,0.0,0.0,46.359,173.306,0.0,0.0,
40,2014-04-30,2,7.0,0.4,0.8,0.04454670107302971,3133.3029992580414,12.0,0.0,852.516,1851.8179999999998,5.125,0.0,51.309000000000005,370.99,0.0,0.0,
41,2014-05-01,3,6.8,-0.2,0.8,0.12626491862973474,3142.9849994182605,2.0,0.0,545.4399999999999,2211.815,0.0,0.0,47.416,334.99800000000005,0.0,3.029,
42,2014-05-02,4,7.8,0.4,1.2,0.19230524793625595,1432.8610005378728,9.0,0.0,943.426,975.3969999999999,0.0,0.0,75.693,0.0,0.0,3.037,
43,2014-05-03,5,7.4,0.4,1.0,0.1901187625754255,3198.1800010204324,13.0,2.0,758.2189999999999,2356.5460000000003,0.0,0.0,73.473,9.076,0.0,0.0,
44,2014-05-04,6,6.6,-0.4,0.8,0.06944999498758414,2679.487000226974,0.0,0.0,3808.056,3483.9769999999994,0.0,0.0,63.501,478.49099999999993,0.0,0.0,
45,2014-05-05,0,7.0,0.25,1.0,0.0,6.10800004005432,0.0,0.0,0.0,6.098,0.0,0.0,0.0,0.0,0.0,0.0,
