,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.utilities,appCat.weather
0,2014-04-01,1,8.0,-1.0,1.5,,2715.7419991493234,4.0,0.0,259.09400000000005,1616.404,634.479,31.127,265.192,13.199,0.0,0.0,
1,2014-04-02,2,7.0,0.0,0.0,0.16493096458489534,6280.1409983634985,5.0,2.0,557.439,2087.999,2623.6380000000004,54.259,82.982,0.0,0.0,0.0,
2,2014-04-03,3,8.0,-0.25,0.5,0.11351887500281606,4925.860998630524,2.0,1.0,311.777,2912.9420000000005,4928.335,58.17,113.405,0.0,319.217,0.0,
3,2014-04-04,4,8.0,-0.5,0.5,0.07394992125320084,5236.956001520157,1.0,4.0,314.78000000000003,3309.647000000001,541.524,0.0,57.90899999999999,61.324,0.0,5.024,
4,2014-04-05,5,8.4,1.4,1.4,0.06235701481564246,3774.8659999370584,5.0,0.0,1081.431,1495.6919999999998,860.0659999999999,0.0,131.054,198.788,0.0,0.0,
5,2014-04-06,6,7.6,-1.4,0.0,0.06470613484339814,4897.057998180391,1.0,4.0,588.083,2678.5760000000005,1167.762,0.0,69.807,188.90499999999997,243.971,10.029,
6,2014-04-07,0,7.0,-0.5,-0.5,0.08243160865190322,5388.959000110626,11.0,8.0,1756.4860000000003,2536.077,1211.1130000000003,0.0,52.179,0.0,90.09700000000001,0.0,
7,2014-04-08,1,7.8,0.4,0.2,0.07162504736842977,4178.6540014743805,1.0,0.0,667.61,2672.6900000000005,1340.512,0.0,65.568,48.579,0.0,0.0,
8,2014-04-09,2,7.333333333333333,0.3333333333333333,0.0,0.08153097175156,4124.162000179292,15.0,2.0,1278.908,2117.4980000000005,2505.198,0.0,26.176000000000002,0.0,85.631,0.0,
9,2014-04-10,3,8.25,0.25,0.75,0.08538139252507375,4656.294999599457,2.0,0.0,168.361,3238.077,844.4039999999999,0.0,84.35600000000001,338.005,0.0,0.0,
10,2014-04-11,4,7.666666666666667,0.3333333333333333,0.3333333333333333,0.13364394484509495,4124.542999267577,6.0,1.0,1443.436,2012.92,532.339,0.0,98.088,0.0,114.418,13.118,
11,2014-04-12,5,8.6,0.2,0.8,0.09256127414546698,2406.448000192642,5.0,2.0,380.201,1372.1370000000002,505.39300000000003,0.0,49.503,92.404,0.0,0.0,
12,2014-04-13,6,8.0,-1.8,0.6,0.11486812630776956,3048.489998817444,6.0,0.0,189.339,1520.7440000000001,661.141,0.0,82.59100000000001,476.366,32.605,0.0,
13,2014-04-14,0,7.5,0.5,0.5,0.09276472686682143,6525.473998785022,3.0,0.0,1518.633,3543.6259999999997,621.1710000000002,0.0,54.104,0.0,32.21,0.0,
14,2014-04-15,1,8.0,0.0,0.5,0.12035484073371028,5020.396999835964,8.0,2.0,635.3030000000001,1951.8459999999998,1036.17,0.0,127.472,0.0,0.0,0.0,
