,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.utilities,appCat.weather
0,2014-04-03,3,7.4,-0.4,0.6,0.07881944444444444,3268.672999620439,1.0,1.0,769.3080000000001,921.003,0.0,333.024,0.0,160.24,1084.116,0.0,0.0,
1,2014-04-04,4,7.0,1.0,0.2,0.13924288801542117,2669.06700015068,3.0,5.0,1759.1549999999997,732.1230000000002,0.0,421.726,0.0,120.408,828.336,106.467,0.0,
2,2014-04-05,5,7.4,-0.2,0.6,0.05138888888888887,5887.944997787476,1.0,1.0,1794.5149999999999,2324.9719999999998,0.0,210.25599999999997,0.0,77.463,2323.352,0.0,19.125,
3,2014-04-06,6,7.0,-1.0,0.2,0.08090277777777778,4060.829999446868,3.0,2.0,968.426,2075.192,0.0,136.404,48.857000000000006,63.426,1004.3,116.07000000000001,0.0,
4,2014-04-07,0,7.6,1.0,0.8,0.08437499999999998,4268.787998676306,0.0,0.0,690.937,2670.446,0.0,121.22999999999999,0.0,69.96400000000001,656.9970000000001,58.36,0.0,
5,2014-04-08,1,7.6,-0.6,0.8,0.0711805555555556,2996.426999568939,0.0,0.0,1083.481,1193.049,0.0,255.91199999999998,0.0,157.368,756.178,180.67600000000002,0.0,
6,2014-04-09,2,7.0,0.4,0.8,0.11215277777777778,5062.94700074196,0.0,0.0,773.605,2828.066,0.0,96.43100000000001,0.0,254.45099999999996,921.989,187.411,0.0,
7,2014-04-10,3,7.4,-0.2,0.4,0.12499999999999996,3914.550999641418,0.0,4.0,1097.353,1929.759,0.0,219.773,0.0,73.634,770.1020000000001,120.381,1.004,
8,2014-04-11,4,5.8,0.4,-0.6,0.08576388888888888,2744.952001094818,1.0,0.0,683.6569999999999,712.5250000000001,0.0,114.861,0.0,46.373999999999995,1186.7199999999998,0.0,0.0,
9,2014-04-12,5,7.0,0.25,0.5,0.07713122605363985,3724.4410006999988,3.0,1.0,2548.493,1614.301,0.0,148.916,0.0,47.089999999999996,1255.9969999999998,0.0,0.0,
10,2014-04-13,6,8.75,0.5,1.5,0.13717672413793106,2255.3990004062657,2.0,1.0,636.07,751.3910000000001,0.0,30.042,0.0,74.851,762.4780000000001,0.0,0.0,
11,2014-04-14,0,7.6,-0.8,0.8,0.08090277777777778,1172.436998605728,0.0,0.0,472.518,497.537,0.0,69.951,0.0,63.226000000000006,39.278,0.0,0.0,
12,2014-04-15,1,7.2,-0.6,0.6,0.09026916896235077,4384.615999937056,0.0,0.0,746.26,2107.4790000000003,0.0,141.707,0.0,87.431,1089.749,294.21500000000003,0.0,
13,2014-04-16,2,7.8,-1.4,1.0,0.1181810224089636,6687.849000930786,0.0,0.0,927.055,2641.498,0.0,113.07600000000001,0.0,102.04599999999999,849.5329999999999,2053.753,0.0,
14,2014-04-17,3,7.6,0.2,0.8,0.10105333800186744,5559.077999114988,2.0,0.0,2018.145,1326.5809999999997,0.0,112.246,0.0,107.089,947.82,2643.791,0.0,
15,2014-04-18,4,8.6,0.0,1.4,0.11597222222222221,2629.1490001678467,6.0,0.0,765.4780000000001,1006.05,0.0,36.261,0.0,54.524,558.1640000000001,207.49699999999999,0.0,
16,2014-04-19,5,7.5,-0.25,0.5,0.054989495798319334,3839.7219984531403,0.0,0.0,502.78200000000004,3045.9629999999997,0.0,275.675,0.0,82.523,1525.018,0.0,0.0,
17,2014-04-20,6,7.2,-0.4,0.6,0.18090277777777775,5281.929001092911,3.0,0.0,33100.553,2502.717,0.0,209.75,0.0,73.832,1123.832,0.0,0.0,
18,2014-04-21,0,6.8,0.0,0.2,0.07812500000000007,3559.2100002765646,1.0,1.0,617.7950000000001,1638.8660000000002,0.0,104.593,0.0,56.626,844.478,201.699,0.0,
19,2014-04-22,1,7.8,-1.0,0.8,0.097000466853408,4648.677000284195,6.0,5.0,842.593,1461.438,0.0,425.10499999999996,0.0,63.214999999999996,749.844,1105.4939999999997,0.0,
20,2014-04-23,2,8.0,0.0,0.8,0.07138142791551878,2928.1900000572195,1.0,0.0,475.26199999999994,1228.441,0.0,269.136,0.0,63.318,811.373,80.125,0.0,
21,2014-04-24,3,7.6,0.6,0.6,0.08724323062558355,3963.487998962403,6.0,0.0,1329.6490000000001,1758.474,0.0,120.09599999999999,0.0,85.74799999999999,642.1959999999999,324.272,0.0,
22,2014-04-25,4,7.6,1.2,0.6,0.13997140522875812,3674.5079996585846,4.0,0.0,910.81,1550.715,0.0,165.071,0.0,431.27399999999994,583.658,0.0,1.003,
23,2014-04-26,5,9.333333333333334,0.6666666666666666,1.6666666666666667,0.36180555555555555,5011.954000234606,18.0,0.0,2015.045,1612.0800000000002,0.0,0.0,0.0,255.20700000000002,481.265,683.8069999999999,0.0,
24,2014-04-27,6,8.0,0.4,0.8,0.12519226354453622,7318.1910009384155,5.0,0.0,1196.491,3704.3439999999996,0.0,42.379000000000005,0.0,64.399,2416.77,79.704,0.0,
25,2014-04-28,0,7.8,0.2,0.8,0.13159722222222217,4951.211998462677,4.0,0.0,820.0120000000001,1259.674,0.0,117.50399999999999,0.0,220.17399999999998,1771.357,761.652,0.0,
26,2014-04-29,1,7.2,-1.2,0.4,0.08749999999999998,3786.9740011692056,3.0,0.0,819.0550000000001,940.7280000000001,0.0,177.047,0.0,100.953,1748.3430000000003,0.0,0.0,
27,2014-04-30,2,6.6,1.2,0.4,0.0889128352490421,7174.952001094818,1.0,0.0,1224.723,3075.3230000000003,251.452,157.319,0.0,72.76999999999998,2420.881,0.0,0.0,
28,2014-05-01,3,7.6,0.4,0.8,0.1123922413793103,4822.044000625612,1.0,0.0,927.537,2234.236,162.572,385.637,0.0,53.544000000000004,743.749,313.704,0.0,
29,2014-05-02,4,7.2,-1.0,0.6,0.11944444444444448,3539.5789985656747,1.0,0.0,817.761,1838.68,0.0,256.453,0.0,91.00399999999999,534.575,0.0,0.0,
