,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
61,2014-04-09,2,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,2014-04-10,3,,,,,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,2014-04-11,4,,,,,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,2014-04-12,5,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,2014-04-13,6,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,2014-04-14,0,8.0,1.0,1.0,0.03496732026143788,1140.1959996223457,6.0,1.0,625.1069999999999,453.58,10.026,0.0,161.56900000000002,0.0,0.0,0.0,
1,2014-04-15,1,7.6,-0.6,0.75,0.07773658192090395,2460.195999860764,3.0,1.0,809.8079999999999,755.2520000000001,0.0,0.0,102.02699999999999,591.85,78.393,0.0,
2,2014-04-16,2,7.4,-0.4,0.25,0.0988649887431325,4514.380000114439,5.0,3.0,849.8870000000001,2702.5270000000005,0.0,0.0,76.541,155.06,113.599,0.0,
3,2014-04-17,3,6.75,-1.5,0.25,0.043800989551545266,5463.269999265672,5.0,3.0,6154.633000000001,3035.325,0.0,0.0,59.52,701.3050000000001,0.0,0.0,
4,2014-04-18,4,7.0,0.4,0.8,0.16215781245608615,7768.733000040056,16.0,1.0,3984.2479999999996,3289.711,3.0149999999999997,0.0,77.82000000000002,764.495,0.0,0.0,
5,2014-04-19,5,7.25,0.0,1.0,0.030991562056058863,4175.9269993305215,1.0,1.0,567.912,2166.138,0.0,0.0,40.62,1228.7759999999998,0.0,0.0,
6,2014-04-20,6,7.8,0.6,0.8,0.10902777777777779,3862.732000112534,10.0,0.0,1010.5419999999999,7112.603000000001,0.0,0.0,49.857,238.994,0.0,0.0,
7,2014-04-21,0,7.5,0.5,1.0,0.015672892720306503,3926.053998947146,0.0,0.0,394.55000000000007,2038.73,0.0,0.0,31.639,1098.115,0.0,45.823,
8,2014-04-22,1,7.2,0.4,0.8,0.07665932952304443,3076.0670008659367,2.0,1.0,931.861,1811.0209999999997,92.419,0.0,48.204,236.383,0.0,0.0,
9,2014-04-23,2,7.5,-0.25,1.0,0.03835321484915803,1905.5060000419628,3.0,0.0,465.88199999999995,1097.172,0.0,0.0,45.045,246.926,0.0,0.0,
10,2014-04-24,3,6.8,-0.25,0.5,0.053788536499505955,6371.679999589921,11.0,0.0,1321.83,4001.0,0.0,0.0,47.369,346.604,0.0,0.0,
11,2014-04-25,4,6.2,0.2,0.25,0.0664568248362065,2518.2940008640294,9.0,1.0,1075.1699999999998,958.739,36.173,36.117,63.941,112.44900000000001,58.276,0.0,
12,2014-04-26,5,7.6,0.8,1.0,0.35133683120286124,1157.1240012645724,5.0,5.0,502.71900000000005,274.986,3.221,0.0,56.551,21.188,291.6,0.0,
13,2014-04-27,6,7.0,-1.0,0.75,0.0659523518195497,1103.4109995365138,0.0,0.0,397.266,1253.7599999999998,0.0,0.0,33.69799999999999,106.36699999999999,0.0,0.0,
14,2014-04-28,0,6.8,0.4,0.6,0.06401814523536081,6149.6300003528595,5.0,1.0,1659.46,3933.4800000000005,42.321000000000005,19.223,53.324,333.192,0.0,0.0,
15,2014-04-29,1,6.0,1.25,0.0,0.05080621402077293,4964.636000633241,6.0,0.0,1107.387,3795.142,34.18,0.0,46.13100000000001,64.284,0.0,0.0,
16,2014-04-30,2,6.333333333333333,0.0,0.6666666666666666,0.15217276531797638,7848.391000509262,5.0,2.0,2864.059,3758.7860000000005,161.998,36.37,30.546,231.16299999999998,0.0,24.283,
17,2014-05-01,3,7.4,-0.8,1.0,0.11590702540083282,4160.105999946596,0.0,0.0,1766.5749999999998,1161.251,0.0,0.0,49.323,386.353,0.0,0.0,
18,2014-05-02,4,7.0,-1.0,1.0,0.0742442660108813,2124.881000280379,0.0,0.0,677.594,553.344,0.0,0.0,51.377,559.8589999999999,0.0,5.015,
19,2014-05-03,5,6.833333333333333,-1.0,1.0,0.03880649717514125,3695.9250004291525,1.0,0.0,1111.822,1985.619,4.022,373.503,52.30200000000001,0.0,0.0,167.169,
20,2014-05-04,6,7.5,-0.5,1.0,0.11647554395081122,4252.372000455855,0.0,0.0,3850.214,1772.0069999999998,0.0,51.786,41.382,22.098,0.0,570.168,
21,2014-05-05,0,6.0,-0.6666666666666666,0.3333333333333333,0.09047478797787512,3596.706000089645,0.0,0.0,470.45500000000004,2541.14,0.0,0.0,36.501,325.121,0.0,156.617,
55,2014-05-06,1,,,,0.16337143074539964,3243.630998849869,1.0,0.0,2169.748,1259.555,0.0,0.0,0.0,126.69800000000001,0.0,179.859,
22,2014-05-07,2,7.0,1.0,0.75,0.0135513811833725,5929.435001611706,0.0,0.0,1133.381,3170.1220000000003,0.0,0.0,81.05900000000001,128.63,0.0,0.0,
23,2014-05-08,3,7.0,0.3333333333333333,1.0,0.09184726802498487,3935.6690013408675,2.0,1.0,1460.5739999999998,1749.1640000000002,473.57899999999995,0.0,43.482000000000006,170.91400000000002,34.145,0.0,
24,2014-05-09,4,7.4,-1.0,1.0,0.08377318187886475,3467.6779999732967,2.0,0.0,867.252,2293.462,0.0,208.114,94.82999999999998,0.0,0.0,0.0,
25,2014-05-10,5,7.0,-0.3333333333333333,,0.0906999385119902,7138.256998777393,7.0,0.0,5083.968,4083.0209999999997,37.429,0.0,25.385,973.3480000000001,0.0,339.493,
