,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std
0,2014-04-08,1,8.0,0.5,1.0,0.1814892623716153,8058.661999702452,6.0,2.0,1963.8740000000003,5442.806999999999,0.0,0.0,162.55100000000002,348.156,223.067,1089.8680000000002,68.551,0.0,0.0,13.176,0.0,0.0,0.0,0.20022408476710787
1,2014-04-09,2,7.4,0.0,0.2,0.10126488095238097,9829.376000642776,9.0,2.0,1737.8450000000003,3686.954,1061.4940000000001,0.0,530.014,124.362,370.1,2130.7700000000004,131.47,0.0,4.123,51.726,0.0,0.0,0.0,0.13130385673517803
2,2014-04-10,3,6.5,0.25,0.5,0.14313397233893554,6600.758999347689,0.0,1.0,2422.842,3068.87,23.124000000000002,0.0,34.28,74.541,316.39700000000005,2080.86,94.007,0.0,0.0,21.103,0.0,0.0,0.0,0.1510052869975457
3,2014-04-11,4,7.75,-0.25,0.5,0.15529914529914535,6472.98200058937,3.0,7.0,11468.300000000001,2590.276,0.0,0.0,40.733,1.025,68.435,3991.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402899774147075
4,2014-04-12,5,7.0,-0.2,0.6,0.04455739111590672,1214.8420004844675,3.0,1.0,920.293,270.11,0.0,0.0,0.0,20.135,82.652,862.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13387279459795903
5,2014-04-13,6,6.6,-0.4,0.4,0.038610440461819405,5777.400000095364,4.0,0.0,654.644,4003.0949999999993,0.0,0.0,275.75800000000004,54.747,89.641,646.166,0.0,0.0,0.0,53.660000000000004,0.0,0.0,0.0,0.08435131521760132
6,2014-04-14,0,6.4,0.6,0.2,0.09109605531851882,7802.634999036789,8.0,0.0,1398.8890000000001,5374.877,0.0,0.0,0.0,0.0,132.74200000000002,888.2510000000001,0.0,0.0,0.0,7.031,0.0,0.0,0.0,0.11560621001866253
7,2014-04-15,1,6.5,-0.25,0.0,0.08074791762574515,4465.848001956941,2.0,1.0,1238.695,2643.3450000000003,0.0,0.0,0.0,0.0,215.80599999999998,248.51000000000002,86.227,0.0,0.0,33.173,0.0,0.0,0.0,0.11220599165626942
8,2014-04-16,2,7.2,0.2,0.6,0.10531602561905301,7550.633999586106,6.0,3.0,1166.368,5329.130000000001,60.439,0.0,0.0,164.333,283.215,518.9999999999999,22.274,0.0,0.0,5.033,0.0,0.0,0.0,0.16418030569082184
9,2014-04-17,3,6.5,0.0,0.0,0.12178447758220236,17583.157001495358,3.0,0.0,1823.5989999999997,9495.385,0.0,0.0,0.0,404.33200000000005,119.726,5640.387999999999,185.435,0.0,0.0,0.0,0.0,0.0,0.0,0.1757932266216668
10,2014-04-18,4,6.25,-0.25,0.0,0.07372682037592555,11757.935998916622,4.0,14.0,3726.79,7995.14,0.0,0.0,10.035,0.0,228.33499999999998,606.1959999999999,157.3,0.0,0.0,0.0,0.0,0.0,0.0,0.10919630161751151
11,2014-04-19,5,7.5,-0.75,0.0,0.15611230462327638,6101.409001350405,6.0,0.0,627.5510000000002,3223.5599999999995,0.0,0.0,142.37400000000002,25.150000000000002,646.583,1435.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982800179808189
12,2014-04-20,6,6.8,0.0,0.0,0.027631578947368413,6041.11500096321,3.0,0.0,1530.109,3986.5150000000003,0.0,0.0,62.141,0.0,126.13999999999999,244.9,37.179,0.0,0.0,52.599000000000004,0.0,0.0,0.0,0.05822002553358705
13,2014-04-21,0,7.4,-0.4,0.8,0.09062499999999996,9379.375999927524,6.0,10.0,1965.8090000000002,3506.8830000000003,0.0,0.0,327.173,0.0,190.28400000000002,2952.833,710.234,0.0,0.0,51.555,0.0,0.0,0.0,0.16324961807591573
14,2014-04-22,1,8.25,0.25,1.0,0.12770165179024573,11491.931000471119,9.0,0.0,5285.821,5716.108,0.0,0.0,18.07,90.801,227.819,277.755,45.257,0.0,0.0,0.0,0.0,0.0,0.0,0.19303078478871727
15,2014-04-23,2,6.5,-0.5,0.0,0.07593836088154272,8629.494999408722,4.0,4.0,1844.4719999999998,4852.758,0.0,0.0,0.0,62.699000000000005,141.418,1772.1229999999998,0.0,0.0,0.0,9.127,0.0,0.0,0.0,0.11628714271747687
