,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,subject_id,days
0,4,6.25,0.0,0.25,0.2409707411356972,15091.126000165932,6.0,0.0,2706.775,6107.31,1007.456,18.196,0.0,62.281,228.71500000000003,4009.135,915.4450000000002,0.0,317.13899999999995,0.0,1,0
1,5,6.6,0.6,0.75,0.2271506907847884,6376.119999408722,3.0,1.0,913.582,4882.986999999999,93.324,52.42400000000001,0.0,109.925,97.125,439.632,37.305,0.0,117.621,0.0,1,1
2,6,6.6,0.2,0.4,0.1140424336703826,4258.870000600815,0.0,0.0,1138.127,3497.339,94.346,0.0,0.0,0.0,52.658,367.596,0.0,0.0,0.0,0.0,1,2
3,0,5.8,1.0,0.0,0.1975054340085333,14915.900001287451,10.0,0.0,967.04,8482.401,976.971,77.50900000000001,0.0,3.01,87.738,3691.595,419.805,0.0,208.818,0.0,1,3
4,1,7.0,0.75,0.75,0.1085805084745762,15055.802999496456,0.0,1.0,759.3389999999999,7998.607999999999,18.066,43.054,0.0,0.0,140.656,1527.405,0.0,235.223,74.431,0.0,1,4
5,2,6.4,-0.2,0.4,0.2453889423123893,19237.20500016212,0.0,0.0,1136.575,11239.212,772.7660000000001,20.175,0.0,0.0,133.65099999999998,3683.705,0.0,0.0,148.462,0.0,1,5
6,3,7.0,0.2,1.0,0.3260862060029161,23618.29099917412,2.0,1.0,1530.119,9477.653,827.192,74.375,0.0,182.451,64.562,2301.075,47.314,0.0,197.306,0.0,1,6
7,4,6.4,-0.6,0.4,0.0832983193277311,4974.484000444413,5.0,0.0,9977.109,966.14,872.646,89.166,233.036,0.0,222.926,512.741,1133.009,0.0,316.805,0.0,1,7
8,5,8.0,-0.2,1.0,0.1483746255479727,5732.092999219897,4.0,1.0,537.2410000000001,2374.1290000000004,1292.663,0.0,0.0,0.0,166.60399999999998,472.888,52.435,0.0,470.017,0.0,1,8
9,6,7.5,0.0,0.75,0.1023809523809524,6203.853000640869,0.0,0.0,1899.208,1029.123,1672.687,0.0,0.0,0.0,79.83500000000001,157.465,0.0,66.477,168.916,0.0,1,9
10,0,7.2,-0.4,0.6,0.0973931623931622,6628.145000219345,6.0,0.0,2697.3230000000003,3013.306,1226.215,41.255,51.176,0.0,164.788,1055.022,183.381,29.29,25.281,0.0,1,10
11,1,6.6,0.6,0.4,0.1614443436176649,20041.449002265927,1.0,0.0,1546.3879999999997,6733.32,1780.2319999999995,519.63,234.741,92.388,223.116,4614.094999999999,1614.621,0.0,702.6600000000001,0.0,1,11
12,2,6.0,0.3333333333333333,0.0,0.0954187602716727,15328.232999563215,4.0,0.0,3506.967000000001,6636.76,1192.2320000000002,275.973,0.0,90.481,517.3340000000001,3904.601,0.0,0.0,271.929,0.0,1,12
